+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| c5ad.2xlarge        | 8    | x86_64     | 16.0     | 300       | N/A          | N/A           | N/A          |
| c5d.2xlarge         | 8    | x86_64     | 16.0     | 200       |  0.396       | 9.5           | 289.3        |
| c6a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.187       | 4.49          | 136.61       |
| c6g.2xlarge         | 8    | arm64      | 16.0     | None      |  0.1704      | 4.09          | 124.49       |
| c6gd.2xlarge        | 8    | arm64      | 16.0     | 474       |  0.196       | 4.7           | 143.19       |
| c6gn.2xlarge        | 8    | arm64      | 16.0     | None      |  0.346       | 8.3           | 252.77       |
| c6i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.34        | 8.16          | 248.39       |
| c6id.2xlarge        | 8    | x86_64     | 16.0     | 474       | N/A          | N/A           | N/A          |
| c6in.2xlarge        | 8    | x86_64     | 16.0     | None      |  0.4536      | 10.89         | 331.38       |
| c7a.2xlarge         | 8    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| c7g.2xlarge         | 8    | arm64      | 16.0     | None      |  0.1963      | 4.71          | 143.41       |
| c7gd.2xlarge        | 8    | arm64      | 16.0     | 474       |  0.2304      | 5.53          | 168.32       |
| c7gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7i-flex.2xlarge    | 8    | x86_64     | 16.0     | None      |  0.33915     | 8.14          | 247.77       |
| c7i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.357       | 8.57          | 260.81       |
| c8g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| g5g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| inf1.2xlarge        | 8    | x86_64     | 16.0     | None      |  0.381       | 9.14          | 278.34       |
| mac2.metal          | 8    | arm64_mac  | 16.0     | None      | N/A          | N/A           | N/A          |
| m2.xlarge           | 2    | x86_64     | 17.1     | 420       | N/A          | N/A           | N/A          |
| c5n.2xlarge         | 8    | x86_64     | 21.0     | None      |  0.432       | 10.37         | 315.6        |
| is4gen.xlarge       | 4    | arm64      | 24.0     | 3750      |  0.655       | 15.72         | 478.52       |
| mac2-m2.metal       | 8    | arm64_mac  | 24.0     | None      | N/A          | N/A           | N/A          |
| vt1.3xlarge         | 12   | x86_64     | 24.0     | None      | N/A          | N/A           | N/A          |
| m3.2xlarge          | 8    | x86_64     | 30.0     | 160       | N/A          | N/A           | N/A          |
| c3.4xlarge          | 16   | x86_64     | 30.0     | 320       | N/A          | N/A           | N/A          |
| c4.4xlarge          | 16   | x86_64     | 30.0     | None      |  0.8         | 19.2          | 584.45       |
| d2.xlarge           | 4    | x86_64     | 30.5     | 6144      |  0.827       | 19.85         | 604.17       |
| i2.xlarge           | 4    | x86_64     | 30.5     | 800       |  0.967       | 23.21         | 706.45       |
| i3.xlarge           | 4    | x86_64     | 30.5     | 950       |  0.354       | 8.5           | 258.62       |
| r3.xlarge           | 4    | x86_64     | 30.5     | 80        |  0.379       | 9.1           | 276.88       |
| r4.xlarge           | 4    | x86_64     | 30.5     | None      |  0.274       | 6.58          | 200.17       |
| x2gd.large          | 2    | arm64      | 32.0     | 118       | N/A          | N/A           | N/A          |
| x8g.large           | 2    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| d3.xlarge           | 4    | x86_64     | 32.0     | 5940      |  0.524       | 12.58         | 382.81       |
| g6e.xlarge          | 4    | x86_64     | 32.0     | 250       | N/A          | N/A           | N/A          |
| i3en.xlarge         | 4    | x86_64     | 32.0     | 2500      |  0.514       | 12.34         | 375.51       |
| i4g.xlarge          | 4    | arm64      | 32.0     | 937       | N/A          | N/A           | N/A          |
| i4i.xlarge          | 4    | x86_64     | 32.0     | 937       |  0.389       | 9.34          | 284.19       |
| i7ie.xlarge         | 4    | x86_64     | 32.0     | 2500      | N/A          | N/A           | N/A          |
| i8g.xlarge          | 4    | arm64      | 32.0     | 937       | N/A          | N/A           | N/A          |
| r5.xlarge           | 4    | x86_64     | 32.0     | None      |  0.26        | 6.24          | 189.95       |
| r5a.xlarge          | 4    | x86_64     | 32.0     | None      |  0.143       | 3.43          | 104.47       |
| r5ad.xlarge         | 4    | x86_64     | 32.0     | 150       |  0.166       | 3.98          | 121.27       |
| r5b.xlarge          | 4    | x86_64     | 32.0     | None      | N/A          | N/A           | N/A          |
| r5d.xlarge          | 4    | x86_64     | 32.0     | 150       |  0.302       | 7.25          | 220.63       |
| r5dn.xlarge         | 4    | x86_64     | 32.0     | 150       | N/A          | N/A           | N/A          |
