+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r7iz.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r8g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| z1d.large           | 2    | x86_64     | 16.0     | 75        |  0.225       | 5.4           | 164.38       |
| d3en.xlarge         | 4    | x86_64     | 16.0     | 27960     | N/A          | N/A           | N/A          |
| g4ad.xlarge         | 4    | x86_64     | 16.0     | 150       | N/A          | N/A           | N/A          |
| g4dn.xlarge         | 4    | x86_64     | 16.0     | 125       |  0.647       | 15.53         | 472.67       |
| g5.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.237       | 29.69         | 903.7        |
| g6.xlarge           | 4    | x86_64     | 16.0     | 250       | N/A          | N/A           | N/A          |
| im4gn.xlarge        | 4    | arm64      | 16.0     | 1875      | N/A          | N/A           | N/A          |
| inf2.xlarge         | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m4.xlarge           | 4    | x86_64     | 16.0     | None      |  0.246       | 5.9           | 179.72       |
| m5.xlarge           | 4    | x86_64     | 16.0     | None      |  0.236       | 5.66          | 172.41       |
| m5a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.212       | 5.09          | 154.88       |
| m5ad.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.254       | 6.1           | 185.56       |
| m5d.xlarge          | 4    | x86_64     | 16.0     | 150       |  0.278       | 6.67          | 203.1        |
| m5dn.xlarge         | 4    | x86_64     | 16.0     | 150       | N/A          | N/A           | N/A          |
| m5n.xlarge          | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m5zn.xlarge         | 4    | x86_64     | 16.0     | None      |  0.406       | 9.74          | 296.61       |
| m6a.xlarge          | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m6g.xlarge          | 4    | arm64      | 16.0     | None      |  0.188       | 4.51          | 137.35       |
| m6gd.xlarge         | 4    | arm64      | 16.0     | 237       |  0.2224      | 5.34          | 162.48       |
| m6i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.236       | 5.66          | 172.41       |
| m6id.xlarge         | 4    | x86_64     | 16.0     | 237       |  0.2919      | 7.01          | 213.25       |
| m6idn.xlarge        | 4    | x86_64     | 16.0     | 237       | N/A          | N/A           | N/A          |
| m6in.xlarge         | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m7a.xlarge          | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m7g.xlarge          | 4    | arm64      | 16.0     | None      |  0.2006      | 4.81          | 146.55       |
| m7gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m7i-flex.xlarge     | 4    | x86_64     | 16.0     | None      |  0.23542     | 5.65          | 171.99       |
| m7i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.2478      | 5.95          | 181.03       |
| m8g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| t2.xlarge           | 4    | x86_64     | 16.0     | None      |  0.2304      | 5.53          | 168.32       |
| t3.xlarge           | 4    | x86_64     | 16.0     | None      |  0.208       | 4.99          | 151.96       |
| t3a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.1872      | 4.49          | 136.76       |
| t4g.xlarge          | 4    | arm64      | 16.0     | None      |  0.1664      | 3.99          | 121.57       |
| a1.2xlarge          | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c5.2xlarge          | 8    | x86_64     | 16.0     | None      |  0.384       | 9.22          | 280.54       |
| c5a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.344       | 8.26          | 251.31       |
| c5ad.2xlarge        | 8    | x86_64     | 16.0     | 300       | N/A          | N/A           | N/A          |
