+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r5b.large           | 2    | x86_64     | 16.0     | None      |  0.329       | 7.9           | 240.35       |
| r5d.large           | 2    | x86_64     | 16.0     | 75        |  0.32        | 7.68          | 233.78       |
| r5dn.large          | 2    | x86_64     | 16.0     | 75        | N/A          | N/A           | N/A          |
| r5n.large           | 2    | x86_64     | 16.0     | None      |  0.328       | 7.87          | 239.62       |
| r6a.large           | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r6g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r6gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6i.large           | 2    | x86_64     | 16.0     | None      |  0.201       | 4.82          | 146.84       |
| r6id.large          | 2    | x86_64     | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6idn.large         | 2    | x86_64     | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6in.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r7a.large           | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r7g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r7gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r7i.large           | 2    | x86_64     | 16.0     | None      |  0.21105     | 5.07          | 154.18       |
| r7iz.large          | 2    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| r8g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| z1d.large           | 2    | x86_64     | 16.0     | 75        | N/A          | N/A           | N/A          |
| d3en.xlarge         | 4    | x86_64     | 16.0     | 27960     | N/A          | N/A           | N/A          |
| g4ad.xlarge         | 4    | x86_64     | 16.0     | 150       | N/A          | N/A           | N/A          |
| g4dn.xlarge         | 4    | x86_64     | 16.0     | 125       |  1.078       | 25.87         | 787.54       |
| g5.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.894       | 45.46         | 1383.68      |
| g6.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.368       | 32.83         | 999.41       |
| im4gn.xlarge        | 4    | arm64      | 16.0     | 1875      | N/A          | N/A           | N/A          |
| inf2.xlarge         | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m4.xlarge           | 4    | x86_64     | 16.0     | None      |  0.502       | 12.05         | 366.74       |
| m5.xlarge           | 4    | x86_64     | 16.0     | None      |  0.306       | 7.34          | 223.55       |
| m5a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.46        | 11.04         | 336.06       |
| m5ad.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.514       | 12.34         | 375.51       |
| m5d.xlarge          | 4    | x86_64     | 16.0     | 150       |  0.544       | 13.06         | 397.42       |
| m5dn.xlarge         | 4    | x86_64     | 16.0     | 150       | N/A          | N/A           | N/A          |
| m5n.xlarge          | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m5zn.xlarge         | 4    | x86_64     | 16.0     | None      |  0.7105      | 17.05         | 519.06       |
| m6a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.4594      | 11.03         | 335.62       |
| m6g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m6gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m6i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.49        | 11.76         | 357.97       |
| m6id.xlarge         | 4    | x86_64     | 16.0     | 237       |  0.562       | 13.49         | 410.57       |
| m6idn.xlarge        | 4    | x86_64     | 16.0     | 237       | N/A          | N/A           | N/A          |
| m6in.xlarge         | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m7a.xlarge          | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m7g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m7gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m7i-flex.xlarge     | 4    | x86_64     | 16.0     | None      |  0.30524     | 7.33          | 223          |
| m7i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.3213      | 7.71          | 234.73       |
| m8g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| t2.xlarge           | 4    | x86_64     | 16.0     | None      |  0.2976      | 7.14          | 217.41       |
| t3.xlarge           | 4    | x86_64     | 16.0     | None      |  0.3424      | 8.22          | 250.14       |
| t3a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.3155      | 7.57          | 230.49       |
| t4g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| a1.2xlarge          | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c5.2xlarge          | 8    | x86_64     | 16.0     | None      |  0.524       | 12.58         | 382.81       |
| c5a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.84        | 20.16         | 613.67       |
| c5ad.2xlarge        | 8    | x86_64     | 16.0     | 300       |  0.904       | 21.7          | 660.43       |
| c5d.2xlarge         | 8    | x86_64     | 16.0     | 200       |  0.964       | 23.14         | 704.26       |
| c6a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.4716      | 11.32         | 344.53       |
| c6g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6gd.2xlarge        | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c6gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.892       | 21.41         | 651.66       |
| c6id.2xlarge        | 8    | x86_64     | 16.0     | 474       |  0.9938      | 23.85         | 726.03       |
| c6in.2xlarge        | 8    | x86_64     | 16.0     | None      |  1.0652      | 25.56         | 778.19       |
| c7a.2xlarge         | 8    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| c7g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7gd.2xlarge        | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c7gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7i-flex.2xlarge    | 8    | x86_64     | 16.0     | None      |  0.87229     | 20.93         | 637.26       |
| c7i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.9182      | 22.04         | 670.8        |
| c8g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| g5g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| inf1.2xlarge        | 8    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| mac2.metal          | 8    | arm64_mac  | 16.0     | None      | N/A          | N/A           | N/A          |
| m2.xlarge           | 2    | x86_64     | 17.1     | 420       |  0.423       | 10.15         | 309.03       |
| c5n.2xlarge         | 8    | x86_64     | 21.0     | None      |  1.032       | 24.77         | 753.94       |
| is4gen.xlarge       | 4    | arm64      | 24.0     | 3750      | N/A          | N/A           | N/A          |
| mac2-m2.metal       | 8    | arm64_mac  | 24.0     | None      | N/A          | N/A           | N/A          |
