+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r5ad.large          | 2    | x86_64     | 16.0     | 75        |  0.223       | 5.35          | 162.91       |
| r5b.large           | 2    | x86_64     | 16.0     | None      |  0.241       | 5.78          | 176.06       |
| r5d.large           | 2    | x86_64     | 16.0     | 75        |  0.236       | 5.66          | 172.41       |
| r5dn.large          | 2    | x86_64     | 16.0     | 75        |  0.259       | 6.22          | 189.22       |
| r5n.large           | 2    | x86_64     | 16.0     | None      |  0.241       | 5.78          | 176.06       |
| r6a.large           | 2    | x86_64     | 16.0     | None      |  0.1134      | 2.72          | 82.85        |
| r6g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r6gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6i.large           | 2    | x86_64     | 16.0     | None      |  0.218       | 5.23          | 159.26       |
| r6id.large          | 2    | x86_64     | 16.0     | 118       |  0.2432      | 5.84          | 177.67       |
| r6idn.large         | 2    | x86_64     | 16.0     | 118       |  0.19539     | 4.69          | 142.74       |
| r6in.large          | 2    | x86_64     | 16.0     | None      |  0.17433     | 4.18          | 127.36       |
| r7a.large           | 2    | x86_64     | 16.0     | None      |  0.24415     | 5.86          | 178.37       |
| r7g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r7gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r7i.large           | 2    | x86_64     | 16.0     | None      |  0.1323      | 3.18          | 96.65        |
| r7iz.large          | 2    | x86_64     | 16.0     | None      |  0.278       | 6.67          | 203.1        |
| r8g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| z1d.large           | 2    | x86_64     | 16.0     | 75        |  0.186       | 4.46          | 135.88       |
| d3en.xlarge         | 4    | x86_64     | 16.0     | 27960     |  0.71        | 17.04         | 518.7        |
| g4ad.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.56253     | 13.5          | 410.96       |
| g4dn.xlarge         | 4    | x86_64     | 16.0     | 125       |  0.71        | 17.04         | 518.7        |
| g5.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.19        | 28.56         | 869.37       |
| g6.xlarge           | 4    | x86_64     | 16.0     | 250       |  0.9888      | 23.73         | 722.38       |
| im4gn.xlarge        | 4    | arm64      | 16.0     | 1875      | N/A          | N/A           | N/A          |
| inf2.xlarge         | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m4.xlarge           | 4    | x86_64     | 16.0     | None      |  0.2         | 4.8           | 146.11       |
| m5.xlarge           | 4    | x86_64     | 16.0     | None      |  0.192       | 4.61          | 140.27       |
| m5a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.356       | 8.54          | 260.08       |
| m5ad.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.39        | 9.36          | 284.92       |
| m5d.xlarge          | 4    | x86_64     | 16.0     | 150       |  0.226       | 5.42          | 165.11       |
| m5dn.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.456       | 10.94         | 333.14       |
| m5n.xlarge          | 4    | x86_64     | 16.0     | None      |  0.422       | 10.13         | 308.3        |
| m5zn.xlarge         | 4    | x86_64     | 16.0     | None      |  0.5143      | 12.34         | 375.73       |
| m6a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.1728      | 4.15          | 126.24       |
| m6g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m6gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m6i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.192       | 4.61          | 140.27       |
| m6id.xlarge         | 4    | x86_64     | 16.0     | 237       |  0.4213      | 10.11         | 307.78       |
| m6idn.xlarge        | 4    | x86_64     | 16.0     | 237       |  0.31824     | 7.64          | 232.49       |
| m6in.xlarge         | 4    | x86_64     | 16.0     | None      |  0.46246     | 11.1          | 337.85       |
| m7a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.23184     | 5.56          | 169.37       |
| m7g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m7gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m7i-flex.xlarge     | 4    | x86_64     | 16.0     | None      |  0.19152     | 4.6           | 139.92       |
| m7i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.2016      | 4.84          | 147.28       |
| m8g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| t2.xlarge           | 4    | x86_64     | 16.0     | None      |  0.2266      | 5.44          | 165.54       |
| t3.xlarge           | 4    | x86_64     | 16.0     | None      |  0.24        | 5.76          | 175.33       |
| t3a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.1504      | 3.61          | 109.88       |
| t4g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| a1.2xlarge          | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c5.2xlarge          | 8    | x86_64     | 16.0     | None      |  0.34        | 8.16          | 248.39       |
| c5a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.676       | 16.22         | 493.86       |
| c5ad.2xlarge        | 8    | x86_64     | 16.0     | 300       |  0.712       | 17.09         | 520.16       |
| c5d.2xlarge         | 8    | x86_64     | 16.0     | 200       |  0.384       | 9.22          | 280.54       |
| c6a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.306       | 7.34          | 223.55       |
| c6g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6gd.2xlarge        | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c6gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c6i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.708       | 16.99         | 517.24       |
| c6id.2xlarge        | 8    | x86_64     | 16.0     | 474       |  0.7712      | 18.51         | 563.41       |
| c6in.2xlarge        | 8    | x86_64     | 16.0     | None      |  0.4536      | 10.89         | 331.38       |
| c7a.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.77856     | 18.69         | 568.78       |
| c7g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7gd.2xlarge        | 8    | arm64      | 16.0     | 474       | N/A          | N/A           | N/A          |
| c7gn.2xlarge        | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| c7i-flex.2xlarge    | 8    | x86_64     | 16.0     | None      |  0.33915     | 8.14          | 247.77       |
| c7i.2xlarge         | 8    | x86_64     | 16.0     | None      |  0.725       | 17.4          | 529.66       |
| c8g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| g5g.2xlarge         | 8    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| inf1.2xlarge        | 8    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| mac2.metal          | 8    | arm64_mac  | 16.0     | None      | N/A          | N/A           | N/A          |
| m2.xlarge           | 2    | x86_64     | 17.1     | 420       |  0.345       | 8.28          | 252.04       |
| c5n.2xlarge         | 8    | x86_64     | 21.0     | None      |  0.8         | 19.2          | 584.45       |
| is4gen.xlarge       | 4    | arm64      | 24.0     | 3750      | N/A          | N/A           | N/A          |
| mac2-m2.metal       | 8    | arm64_mac  | 24.0     | None      | N/A          | N/A           | N/A          |
| vt1.3xlarge         | 12   | x86_64     | 24.0     | None      | N/A          | N/A           | N/A          |
| m3.2xlarge          | 8    | x86_64     | 30.0     | 160       |  0.532       | 12.77         | 388.66       |
| c3.4xlarge          | 16   | x86_64     | 30.0     | 320       |  1.504       | 36.1          | 1098.76      |
| c4.4xlarge          | 16   | x86_64     | 30.0     | None      |  1.532       | 36.77         | 1119.22      |
| d2.xlarge           | 4    | x86_64     | 30.5     | 6144      |  0.821       | 19.7          | 599.79       |
| i2.xlarge           | 4    | x86_64     | 30.5     | 800       |  0.853       | 20.47         | 623.17       |
| i3.xlarge           | 4    | x86_64     | 30.5     | 950       |  0.312       | 7.49          | 227.93       |
| r3.xlarge           | 4    | x86_64     | 30.5     | 80        |  0.333       | 7.99          | 243.28       |
| r4.xlarge           | 4    | x86_64     | 30.5     | None      |  0.266       | 6.38          | 194.33       |
| x2gd.large          | 2    | arm64      | 32.0     | 118       | N/A          | N/A           | N/A          |
| x8g.large           | 2    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| d3.xlarge           | 4    | x86_64     | 32.0     | 5940      |  0.683       | 16.39         | 498.97       |
| g6e.xlarge          | 4    | x86_64     | 32.0     | 250       |  2.045       | 49.08         | 1494         |
| i3en.xlarge         | 4    | x86_64     | 32.0     | 2500      |  0.636       | 15.26         | 464.64       |
