+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r5ad.large          | 2    | x86_64     | 16.0     | 75        |  0.251       | 6.02          | 183.37       |
| r5b.large           | 2    | x86_64     | 16.0     | None      |  0.273       | 6.55          | 199.44       |
| r5d.large           | 2    | x86_64     | 16.0     | 75        |  0.266       | 6.38          | 194.33       |
| r5dn.large          | 2    | x86_64     | 16.0     | 75        |  0.295       | 7.08          | 215.52       |
| r5n.large           | 2    | x86_64     | 16.0     | None      |  0.273       | 6.55          | 199.44       |
| r6a.large           | 2    | x86_64     | 16.0     | None      |  0.1368      | 3.28          | 99.94        |
| r6g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r6gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r6i.large           | 2    | x86_64     | 16.0     | None      |  0.152       | 3.65          | 111.05       |
| r6id.large          | 2    | x86_64     | 16.0     | 118       |  0.2747      | 6.59          | 200.68       |
| r6idn.large         | 2    | x86_64     | 16.0     | 118       |  0.32951     | 7.91          | 240.73       |
| r6in.large          | 2    | x86_64     | 16.0     | None      |  0.30377     | 7.29          | 221.92       |
| r7a.large           | 2    | x86_64     | 16.0     | None      |  0.18354     | 4.4           | 134.09       |
| r7g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| r7gd.large          | 2    | arm64      | 16.0     | 118       | N/A          | N/A           | N/A          |
| r7i.large           | 2    | x86_64     | 16.0     | None      |  0.1596      | 3.83          | 116.6        |
| r7iz.large          | 2    | x86_64     | 16.0     | None      |  0.319       | 7.66          | 233.05       |
| r8g.large           | 2    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| z1d.large           | 2    | x86_64     | 16.0     | 75        |  0.319       | 7.66          | 233.05       |
| d3en.xlarge         | 4    | x86_64     | 16.0     | 27960     |  0.946       | 22.7          | 691.11       |
| g4ad.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.69482     | 16.68         | 507.61       |
| g4dn.xlarge         | 4    | x86_64     | 16.0     | 125       |  0.894       | 21.46         | 653.12       |
| g5.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.643       | 39.43         | 1200.31      |
| g6.xlarge           | 4    | x86_64     | 16.0     | 250       |  1.1672      | 28.01         | 852.71       |
| im4gn.xlarge        | 4    | arm64      | 16.0     | 1875      | N/A          | N/A           | N/A          |
| inf2.xlarge         | 4    | x86_64     | 16.0     | None      | N/A          | N/A           | N/A          |
| m4.xlarge           | 4    | x86_64     | 16.0     | None      |  0.258       | 6.19          | 188.48       |
| m5.xlarge           | 4    | x86_64     | 16.0     | None      |  0.432       | 10.37         | 315.6        |
| m5a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.408       | 9.79          | 298.07       |
| m5ad.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.452       | 10.85         | 330.21       |
| m5d.xlarge          | 4    | x86_64     | 16.0     | 150       |  0.476       | 11.42         | 347.75       |
| m5dn.xlarge         | 4    | x86_64     | 16.0     | 150       |  0.534       | 12.82         | 390.12       |
| m5n.xlarge          | 4    | x86_64     | 16.0     | None      |  0.49        | 11.76         | 357.97       |
| m5zn.xlarge         | 4    | x86_64     | 16.0     | None      |  0.6107      | 14.66         | 446.15       |
| m6a.xlarge          | 4    | x86_64     | 16.0     | None      |  0.2232      | 5.36          | 163.06       |
| m6g.xlarge          | 4    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| m6gd.xlarge         | 4    | arm64      | 16.0     | 237       | N/A          | N/A           | N/A          |
| m6i.xlarge          | 4    | x86_64     | 16.0     | None      |  0.432       | 10.37         | 315.6        |
| m6id.xlarge         | 4    | x86_64     | 16.0     | 237       |  0.3066      | 7.36          | 223.99       |
| m6idn.xlarge        | 4    | x86_64     | 16.0     | 237       |  0.5935      | 14.24         | 433.59       |
| m6in.xlarge         | 4    | x86_64     | 16.0     | None      |  0.54202     | 13.01         | 395.98       |
